"fun radio",                 "slovakian",           http://stream.funradio.sk:8000/fun128.mp3 
"saudades",                  "brazilian",           http://stream.zeno.fm/aye8zg6wm8quv
"deep house",                "electronic",          http://strm112.1.fm/deephouse_mobile_mp3 
"heart london",              "pop",                 http://ice-sov.musicradio.com/HeartLondonMP3  
"the jazz groove",           "jazz",                http://east-mp3-128.streamthejazzgroove.com/stream 
"cnn",                       "news",                https://tunein.streamguys1.com/fallback-cnnembed 
"nbc",                       "news",                http://stream.revma.ihrhls.com/zc6043 
"happy christmas radio",     "christmas",           https://listen.happychristmasradio.net/ 
"paradise rock",             "rock",                http://stream.radioparadise.com/rock-320 
"radio caroline",            "pop",                 http://78.129.202.200:8040/; 
"cryosleep",                 "mellow",              http://streams.echoesofbluemars.org:8000/cryosleep 
"bbc 1",                     "pop",                 http://stream.live.vc.bbcmedia.co.uk/bbc_radio_one 
"soma fm secret agent",      "jazz",                http://ice.somafm.com/secretagent
"classic rock replay",       "classic rock",        http://strm112.1.fm/crock_mobile_mp3 
"love radio",                "70s 80s 90s",         http://shoutcast3.streamingmedia.it:3162/ 
"soft rock radio",           "soft rock",           http://softrock-ice.purestream.net/softrock.mp3 
"rnb and hip hop",           "hip hop",             http://192.99.41.102:5429/ 
"big r radio",               "heavy metal",         http://bigrradio.cdnstream1.com/5186_128 
"soma fm pop tron",          "electronic",          http://ice3.somafm.com/poptron-128-mp3 
"bbc 3",                     "classical",           https://stream.live.vc.bbcmedia.co.uk/bbc_radio_three 
"beautiful instrumentals",   "instrumentals",       http://s3.voscast.com:10038/ 
"rockabilly radio",          "rockabilly",          http://lin3.ash.fast-serv.com:6026/stream_96 
"102.7 kiss fm",             "top 40",              https://stream.revma.ihrhls.com/zc185 
"3 fm",                      "pop",                 http://icecast.omroep.nl/3fm-bb-mp3 
"trance fm",                 "electronic",          https://trance-high.rautemusik.fm
"radio rocks",               "classic rock",        http://online.radioroks.ua/RadioROKS_Ballads_HD 
"classic rock 105.1",        "classic rock",        https://live.wostreaming.net/manifest/townsquare-kftefmaac-ibc3 
"radio paradise",            "soft rock",           http://stream.radioparadise.com/mellow-320 
"", "", 
